Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-05,GeForce GTX 1660 SUPER SC ULTRA GAMING 06G-P4-1068-KR 6GB GDDR6 Dual Fan Metal Backplate,EVGA,239,,Rating + 5",12
2020-02-05,TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 HDCP Ready Video Card,NVIDIA,2,499,,Rating + 4",7
2020-02-05,GeForce GTX 1660 SC ULTRA GAMING 06G-P4-1067-KR 6GB GDDR5 Dual Fan Metal Backplate,EVGA,239,,Rating + 5",12
2020-02-05,Geforce RTX 2060 OC GG Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR6 GV-N2060OC-6GD  Video Card,GIGABYTE,319,,Rating + 4",25
2020-02-05,Radeon RX 5700 DirectX 12 RX-57XL828D6 8GB 256-Bit GDDR6 PCI Express 4.0 x16 Video Card,XFX,329,,Rating + 4",16
2020-02-05,Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,GIGABYTE,129,,Rating + 5",1
2020-02-05,GeForce RTX 2080 Ti FTW3 ULTRA GAMING 11G-P4-2487-KR 11GB GDDR6 iCX2 & RGB LED,EVGA,1,349,,Rating + 4",36
2020-02-05,GeForce RTX 2060 DirectX 12 RTX 2060 GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,369,,Rating + 5",4
2020-02-05,GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,719,,Rating + 4",11
2020-02-05,GeForce RTX 2080 Ti DirectX 12 RTX 2080 TI VENTUS 11G OC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,1,099,,Rating + 5",13
2020-02-05,GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,549,,Rating + 5",2
2020-02-05,GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,MSI,169,,Rating + 4",105
2020-02-05,GAMING GeForce RTX 2060 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card IceStorm 2.0 Super Compact ZT-T20610E-10M,ZOTAC,399,,Rating + 4",6
